,cluster,Economy,Year
0,0,Austria,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
1,0,Belarus,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
2,0,Belgium,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
3,0,Bulgaria,2020
4,0,Croatia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
5,0,Cyprus,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
6,0,Czechia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
7,0,Denmark,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
8,0,Estonia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
9,0,Finland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
10,0,France,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
11,0,Germany,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
12,0,Greece,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
13,0,Hungary,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
14,0,Iceland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
15,0,Ireland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
16,0,Italy,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
17,0,Kazakhstan,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
18,0,Latvia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
19,0,Lithuania,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
20,0,Luxembourg,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
21,0,Malta,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
22,0,Moldova,"2019, 2020"
23,0,Netherlands,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
24,0,Norway,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
25,0,Poland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
26,0,Portugal,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
27,0,Russian Federation,"2017, 2018, 2019, 2020"
28,0,Slovak Republic,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
29,0,Slovenia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
30,0,Spain,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
31,0,Sweden,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
32,0,Switzerland,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
33,0,Ukraine,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
34,0,United Kingdom,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
35,1,Albania,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
36,1,Armenia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
37,1,Azerbaijan,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
38,1,Bosnia and Herzegovina,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
39,1,Bulgaria,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
40,1,Georgia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
41,1,Moldova,"2012, 2013, 2014, 2015, 2016, 2017, 2018"
42,1,Montenegro,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
43,1,North Macedonia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
44,1,Romania,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
45,1,Russian Federation,"2012, 2013, 2014, 2015, 2016"
46,1,Serbia,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
47,1,Turkiye,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
